primary_classification,Secondary_classification,product_name,product_low_price,product_average_price,product_high_price,special_info,place_of_origin,unit_info,public_time
蔬菜,,大白菜,0.4,0.45,0.5,,冀,斤,2022-07-07
蔬菜,,娃娃菜,0.6,0.7,0.8,大,冀,斤,2022-07-07
蔬菜,,小白菜,1.6,1.8,2.0,,冀,斤,2022-07-07
蔬菜,,圆白菜,0.7,0.8,0.9,,冀,斤,2022-07-07
蔬菜,,紫甘蓝,0.8,0.85,0.9,,冀,斤,2022-07-07
蔬菜,,芹菜,1.5,1.75,2.0,,冀京,斤,2022-07-07
蔬菜,,西芹,1.8,2.0,2.2,,豫辽,斤,2022-07-07
蔬菜,,菠菜,2.0,2.25,2.5,,冀蒙,斤,2022-07-07
蔬菜,,莴笋,0.6,0.8,1.0,,冀津,斤,2022-07-07
蔬菜,,团生菜,0.8,1.0,1.2,白球\净,京冀,斤,2022-07-07
蔬菜,,散叶生菜,0.8,1.1,1.4,毛\净,冀,斤,2022-07-07
蔬菜,,罗马生菜,1.5,1.65,1.8,,冀,斤,2022-07-07
蔬菜,,油菜,2.5,2.75,3.0,大棵\小棵,京,斤,2022-07-07
蔬菜,,香菜,2.0,3.0,4.0,,冀,斤,2022-07-07
蔬菜,,茴香,2.0,2.25,2.5,,冀,斤,2022-07-07
蔬菜,,韭菜,2.0,2.25,2.5,,冀,斤,2022-07-07
蔬菜,,苦菊,5.0,5.25,5.5,,冀辽,斤,2022-07-07
蔬菜,,油麦菜,2.0,2.5,3.0,,冀,斤,2022-07-07
蔬菜,,散菜花,2.3,2.75,3.2,散装,冀,斤,2022-07-07
蔬菜,,绿菜花,1.5,1.75,2.0,,苏豫冀,斤,2022-07-07
蔬菜,,绿豆芽,0.95,0.98,1.0,,,斤,2022-07-07
蔬菜,,黄豆芽,0.85,0.88,0.9,,,斤,2022-07-07
蔬菜,,番茄,1.2,1.3,1.4,黑框,冀鲁,斤,2022-07-07
蔬菜,,番茄,1.5,1.7,1.9,纸箱,冀蒙,斤,2022-07-07
蔬菜,,番茄,1.6,1.8,2.0,白框,蒙津,斤,2022-07-07
蔬菜,,黄瓜,1.2,1.6,2.0,袋\箱,鲁辽,斤,2022-07-07
蔬菜,,黄瓜,2.2,2.5,2.8,鲜干花,冀,斤,2022-07-07
蔬菜,,小黄瓜,2.5,4.0,5.5,旱\荷兰,辽鲁,斤,2022-07-07
蔬菜,,茄子,0.8,1.1,1.4,,鲁冀,斤,2022-07-07
蔬菜,,长茄,1.0,1.4,1.8,,冀辽,斤,2022-07-07
蔬菜,,线茄,1.5,2.25,3.0,袋\箱,冀京,斤,2022-07-07
蔬菜,,广茄,0.8,1.05,1.3,,冀,斤,2022-07-07
蔬菜,,冬瓜,0.6,0.7,0.8,吊,桂冀,斤,2022-07-07
蔬菜,,冬瓜,0.4,0.5,0.6,地,桂冀,斤,2022-07-07
蔬菜,,毛冬瓜,0.7,0.85,1.0,长条,冀鲁,斤,2022-07-07
蔬菜,,架豆,3.0,3.5,4.0,,鲁冀晋,斤,2022-07-07
蔬菜,,豆王,4.5,5.5,6.5,,辽冀甘,斤,2022-07-07
